sample	cluster_joint_r0.1	cluster_joint_r1	cluster_joint_r2	cluster_joint_r4	tsne_x	tsne_y	modality
LS-15395_S43_E1-50	7	9	17	30	-7.013664334496008	10.134143524186063	smarter_cells
LS-15395_S44_E1-50	7	9	19	19	-9.375187204716132	11.082740820346398	smarter_cells
LS-15395_S46_E1-50	1	4	3	5	5.077951981910691	7.952012549665303	smarter_cells
LS-15395_S48_E1-50	1	4	3	22	4.788595285697156	10.278378217849488	smarter_cells
LS-15395_S50_E1-50	4	7	5	11	10.161665699163823	4.266431702260426	smarter_cells
LS-15395_S52_E1-50	7	9	19	19	-9.90474366368905	11.05734279961487	smarter_cells
LS-15395_S54_E1-50	2	1	2	6	7.829157097379952	-3.1862453313772754	smarter_cells
LS-15395_S56_E1-50	4	8	6	10	8.934022716654583	0.4834280064204519	smarter_cells
LS-15396_S41_E1-50	4	7	5	14	10.443237041309025	5.3952543667960295	smarter_cells
LS-15396_S42_E1-50	4	7	5	14	12.031108720962557	4.116466112221745	smarter_cells
LS-15396_S45_E1-50	4	13	18	17	8.757043073122118	4.337277295836164	smarter_cells
LS-15396_S47_E1-50	2	1	7	28	6.5639717584608235	-1.213872677687919	smarter_cells
LS-15396_S49_E1-50	4	8	6	38	9.998215499737578	1.3889293889165713	smarter_cells
LS-15396_S52_E1-50	4	8	6	10	7.831070312077186	-1.7390246317439926	smarter_cells
LS-15396_S53_E1-50	4	7	5	11	11.603539428751166	3.166136627405021	smarter_cells
LS-15396_S54_E1-50	4	8	6	33	7.567807080563278	1.1429058601240052	smarter_cells
LS-15396_S55_E1-50	4	7	5	14	12.214985453734233	3.7548254808614816	smarter_cells
LS-15396_S56_E1-50	4	7	5	14	11.194691011647983	4.565537454368961	smarter_cells
LS-15396_S57_E1-50	4	7	5	11	11.552556997907187	3.596790204937072	smarter_cells
LS-15396_S58_E1-50	4	8	6	10	9.02491408557691	0.35815964776581516	smarter_cells
LS-15396_S62_E1-50	4	7	5	14	11.701428356176088	3.854029797599834	smarter_cells
LS-15396_S63_E1-50	2	1	7	28	6.9713477258030485	-0.6178983341541175	smarter_cells
LS-15396_S64_E1-50	7	9	19	19	-8.401049464064716	10.53297536207491	smarter_cells
LS-15396_S74_E1-50	5	2	1	3	4.849461074410794	-10.05754763600416	smarter_cells
LS-15396_S75_E1-50	2	1	7	28	5.427091619908209	-0.20316307431023337	smarter_cells
LS-15396_S76_E1-50	5	2	1	3	6.049500106448466	-12.587556013525578	smarter_cells
LS-15396_S77_E1-50	5	2	1	36	4.246751911249752	-10.286744184448715	smarter_cells
LS-15396_S79_E1-50	5	2	1	3	4.631551945487703	-11.163979176855268	smarter_cells
LS-15396_S81_E1-50	2	1	2	13	6.080875405813273	-2.1137765633754086	smarter_cells
LS-15396_S82_E1-50	5	2	9	23	2.8708056743893904	-13.176751357035517	smarter_cells
LS-15396_S84_E1-50	5	2	1	39	7.437117358189792	-11.490736494478888	smarter_cells
LS-15396_S85_E1-50	1	4	3	5	6.409307439259794	8.433277694977871	smarter_cells
LS-15396_S88_E1-50	5	2	1	39	6.424661307246947	-12.04176186224087	smarter_cells
LS-15398_S18_E1-50	5	2	1	36	5.234486505151664	-9.632534006711632	smarter_cells
LS-15398_S20_E1-50	2	1	7	2	5.400238461175863	-0.4087499650504154	smarter_cells
LS-15398_S21_E1-50	5	2	1	39	7.7707066256669455	-11.401191186783347	smarter_cells
LS-15398_S22_E1-50	4	8	6	10	8.248929503991752	-0.6316967061983604	smarter_cells
LS-15398_S25_E1-50	2	1	7	2	4.737111915556297	-0.5871915236513501	smarter_cells
LS-15398_S29_E1-50	5	2	1	39	7.889502806333849	-11.756725324406148	smarter_cells
LS-15398_S30_E1-50	2	1	7	28	6.029460852168672	0.017623725577970126	smarter_cells
LS-15398_S32_E1-50	5	2	1	18	6.096937518266739	-10.345592548877654	smarter_cells
LS-15500_S09_E1-50	2	1	7	2	4.937376471244695	-1.2966146994242216	smarter_cells
LS-15500_S10_E1-50	2	1	7	2	5.059053109469736	-0.6062467214998217	smarter_cells
LS-15500_S12_E1-50	5	2	1	39	7.273336407434469	-11.764812811061974	smarter_cells
LS-15500_S14_E1-50	2	1	7	28	5.48372069490835	-0.2276828507520898	smarter_cells
LS-15500_S15_E1-50	2	1	7	28	6.425943529328818	0.13426937840729014	smarter_cells
LS-15500_S20_E1-50	5	2	1	18	6.762499959714833	-10.269195804237956	smarter_cells
LS-15500_S22_E1-50	5	2	1	3	5.516215782244594	-12.396191149003377	smarter_cells
LS-15500_S23_E1-50	5	2	1	39	7.358692445508859	-12.17263587390612	smarter_cells
LS-15500_S24_E1-50	2	1	7	28	6.536780611406354	-1.5395453757986377	smarter_cells
LS-15500_S27_E1-50	4	8	6	33	7.687424102230361	0.965584896762462	smarter_cells
LS-15500_S28_E1-50	4	13	18	17	7.58917580836721	4.691284712947946	smarter_cells
LS-15500_S31_E1-50	4	8	6	33	8.653591043348577	1.3999299595656367	smarter_cells
LS-15500_S32_E1-50	2	1	7	28	6.44921251297749	0.1363595754988866	smarter_cells
LS-15501_S25_E1-50	4	13	18	17	8.2997786002137	4.992163195161889	smarter_cells
LS-15501_S26_E1-50	7	9	19	19	-9.943880056327522	11.628755538190662	smarter_cells
